ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
4965,No,No,No,3,219,3,Finance Management,Landing Page Submission
4966,Yes,No,No,3,1768,3,Operations Management,Landing Page Submission
4967,No,No,No,3,261,3,Human Resource Management,Landing Page Submission
4968,No,No,No,2,221,2,Human Resource Management,API
4969,Yes,No,No,3,1031,3,Supply Chain Management,Landing Page Submission
4970,Yes,No,No,6,942,3,IT Projects Management,Landing Page Submission
4971,No,Yes,No,0,0,0,International Business,API
4972,Yes,No,No,7,1522,7,Travel and Tourism,API
4973,No,No,No,0,0,0,Finance Management,API
4974,Yes,No,No,3,951,1.5,Retail Management,API
4975,Yes,No,No,13,1311,1.86,Human Resource Management,Landing Page Submission
4976,No,Yes,No,3,389,3,Operations Management,Landing Page Submission
4977,No,No,No,3,1291,3,Human Resource Management,Landing Page Submission
4978,Yes,Yes,No,6,1047,6,"Banking, Investment And Insurance",Landing Page Submission
4979,No,No,No,4,1123,4,IT Projects Management,Landing Page Submission
4980,Yes,No,No,4,861,4,Marketing Management,API
4981,No,No,No,2,197,2,Business Administration,API
4982,No,No,No,8,286,8,Operations Management,Landing Page Submission
4983,Yes,No,No,3,1774,3,Finance Management,API
4984,Yes,No,No,0,0,0,Human Resource Management,API
4985,Yes,No,No,7,1500,2.33,IT Projects Management,Landing Page Submission
4986,No,No,No,5,401,5,Finance Management,Landing Page Submission
4987,No,No,No,4,948,4,Finance Management,Landing Page Submission
4988,No,No,No,3,1493,3,Marketing Management,Landing Page Submission
4989,No,No,No,4,32,2,Marketing Management,API
4990,No,No,No,5,209,1.67,Finance Management,Landing Page Submission
4991,Yes,No,No,2,129,2,Business Administration,Landing Page Submission
4992,No,No,No,5,1006,5,E-Business,Landing Page Submission
4993,Yes,No,No,6,109,6,E-COMMERCE,Landing Page Submission
4994,Yes,No,No,0,0,0,,API
4995,No,No,No,3,1219,3,,API
4996,No,No,No,2,1984,2,Finance Management,Landing Page Submission
4997,No,No,No,3,151,3,,API
4998,Yes,No,No,3,370,3,Marketing Management,Landing Page Submission
4999,No,No,No,0,0,0,,API
5000,No,No,No,4,305,4,International Business,Landing Page Submission
5001,Yes,No,No,2,1651,2,,API
5002,No,No,No,7,358,7,Travel and Tourism,Landing Page Submission
5003,No,No,No,4,373,2,Finance Management,Landing Page Submission
5004,No,No,No,0,0,0,,API
5005,No,No,No,0,0,0,,API
5006,No,No,No,4,84,4,Business Administration,API
5007,No,No,No,4,507,4,Marketing Management,API
5008,Yes,Yes,No,11,1494,11,,API
5009,No,No,No,2,272,2,Media and Advertising,Landing Page Submission
5010,Yes,No,No,11,115,5.5,Human Resource Management,API
5011,Yes,No,No,7,941,7,Business Administration,Landing Page Submission
5012,No,No,No,3,71,1.5,Marketing Management,Landing Page Submission
5013,Yes,No,No,3,1033,3,"Banking, Investment And Insurance",Landing Page Submission
5014,No,No,No,0,0,0,,API
5015,No,No,No,1,119,1,,API
5016,Yes,No,No,3,1281,3,Finance Management,Landing Page Submission
5017,Yes,No,No,0,0,0,,API
5018,No,No,No,7,90,2.33,Finance Management,Landing Page Submission
5019,No,No,No,4,43,4,IT Projects Management,Landing Page Submission
5020,Yes,No,No,6,1957,1.5,Marketing Management,Landing Page Submission
5021,No,No,No,5,1004,2.5,Operations Management,Landing Page Submission
5022,Yes,No,No,2,1260,2,,API
5023,Yes,No,No,0,0,0,IT Projects Management,API
5024,No,Yes,No,4,291,4,Marketing Management,Landing Page Submission
5025,No,No,No,2,1083,2,Operations Management,Landing Page Submission
5026,No,No,No,2,278,2,,API
5027,Yes,No,No,26,120,13,Human Resource Management,API
5028,Yes,No,No,2,1496,2,Finance Management,Landing Page Submission
5029,No,No,No,5,527,5,,API
5030,No,No,No,2,0,2,,API
5031,No,No,No,0,0,0,,API
5032,No,No,No,4,29,1.33,E-Business,API
5033,Yes,No,No,10,1337,10,Finance Management,Landing Page Submission
5034,No,No,No,14,302,3.5,Healthcare Management,Landing Page Submission
5035,No,No,No,4,1589,4,Finance Management,Landing Page Submission
5036,Yes,No,No,4,384,4,Marketing Management,Landing Page Submission
5037,Yes,No,No,0,0,0,,API
5038,Yes,No,No,4,1524,4,Human Resource Management,Landing Page Submission
5039,No,No,No,10,1306,2.5,Human Resource Management,Landing Page Submission
5040,No,No,No,2,74,2,Operations Management,Landing Page Submission
5041,No,No,No,2,105,2,Human Resource Management,Landing Page Submission
5042,No,No,No,4,109,1.33,,API
5043,Yes,No,No,4,1477,4,"Banking, Investment And Insurance",Landing Page Submission
5044,Yes,No,No,5,576,5,Finance Management,Landing Page Submission
5045,Yes,No,No,0,0,0,,API
5046,No,Yes,No,9,701,9,Healthcare Management,Landing Page Submission
5047,No,No,No,0,0,0,,API
5048,No,No,No,8,108,4,Human Resource Management,Landing Page Submission
5049,No,No,No,3,465,3,Finance Management,Landing Page Submission
5050,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
5051,Yes,No,No,3,1303,3,"Banking, Investment And Insurance",Landing Page Submission
5052,Yes,No,No,0,0,0,Finance Management,Lead Add Form
5053,Yes,No,No,0,0,0,,API
5054,No,No,No,0,0,0,,API
5055,No,No,No,4,21,4,Business Administration,Landing Page Submission
5056,No,No,No,0,0,0,,API
5057,No,No,No,2,415,2,,API
5058,Yes,No,No,6,1202,3,Retail Management,Landing Page Submission
5059,Yes,No,No,2,1164,1,Finance Management,API
5060,No,Yes,No,4,68,2,E-COMMERCE,Landing Page Submission
5061,Yes,No,No,0,0,0,,API
5062,Yes,No,No,5,1347,2.5,Marketing Management,Landing Page Submission
5063,Yes,No,No,,1168,,,Lead Add Form
5064,No,Yes,No,5,245,2.5,Human Resource Management,Landing Page Submission
5065,No,No,No,0,0,0,,API
5066,No,No,No,2,221,2,Human Resource Management,Landing Page Submission
5067,No,No,No,7,224,7,Operations Management,Landing Page Submission
5068,No,No,No,5,171,2.5,Human Resource Management,Landing Page Submission
5069,Yes,No,No,4,1298,2,IT Projects Management,Landing Page Submission
5070,No,No,No,2,333,2,Finance Management,Landing Page Submission
5071,No,No,No,2,288,2,Marketing Management,Landing Page Submission
5072,Yes,No,No,3,1136,3,Finance Management,Landing Page Submission
5073,No,No,No,0,0,0,,API
5074,No,No,No,4,135,4,"Banking, Investment And Insurance",Landing Page Submission
5075,No,No,No,4,1195,1.33,Business Administration,Landing Page Submission
5076,No,No,No,2,1380,2,Business Administration,Landing Page Submission
5077,Yes,No,No,0,0,0,,API
5078,Yes,No,No,7,945,3.5,Finance Management,Landing Page Submission
5079,Yes,No,No,21,558,3.5,Human Resource Management,Landing Page Submission
5080,No,No,No,4,504,4,"Banking, Investment And Insurance",Landing Page Submission
5081,Yes,No,No,3,1350,3,,API
5082,No,No,No,0,0,0,,API
5083,No,No,No,0,0,0,,API
5084,No,No,No,0,0,0,,API
5085,Yes,No,No,5,1557,5,Media and Advertising,Landing Page Submission
5086,No,No,No,3,18,3,,API
5087,No,No,No,0,0,0,,API
5088,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
5089,No,No,No,2,204,2,Human Resource Management,Landing Page Submission
5090,Yes,No,No,14,1200,2.8,Operations Management,Landing Page Submission
5091,No,No,No,3,1288,1.5,Finance Management,Landing Page Submission
5092,No,Yes,No,3,242,3,"Banking, Investment And Insurance",Landing Page Submission
5093,Yes,No,No,4,849,4,"Banking, Investment And Insurance",Landing Page Submission
5094,Yes,No,No,0,0,0,,API
5095,No,No,No,0,0,0,,API
5096,No,No,No,0,0,0,,API
5097,Yes,No,No,3,899,3,,API
5098,No,No,No,0,0,0,,API
5099,No,No,No,0,0,0,,API
5100,No,No,No,0,0,0,,API
5101,No,No,No,0,0,0,,API
5102,No,No,No,0,0,0,,API
5103,No,No,No,0,0,0,,API
5104,No,No,No,3,120,1.5,,API
5105,No,No,No,2,131,2,Supply Chain Management,Landing Page Submission
5106,No,No,No,3,54,1.5,,API
5107,No,No,No,3,446,1.5,Human Resource Management,Landing Page Submission
5108,No,No,No,0,0,0,,API
5109,No,No,No,0,0,0,,API
5110,No,No,No,2,119,2,Finance Management,Landing Page Submission
5111,No,No,No,2,61,2,,API
5112,No,No,No,4,244,4,,API
5113,No,Yes,No,4,545,2,Supply Chain Management,Landing Page Submission
5114,No,No,No,2,547,2,E-Business,Landing Page Submission
5115,No,No,No,4,113,4,Finance Management,Landing Page Submission
5116,No,No,No,1,384,1,Finance Management,Landing Page Submission
5117,Yes,No,No,0,0,0,,API
5118,No,No,No,2,53,2,Marketing Management,Landing Page Submission
5119,No,No,No,7,279,3.5,Marketing Management,Landing Page Submission
5120,No,No,No,2,440,2,Human Resource Management,Landing Page Submission
5121,Yes,No,No,3,995,3,Finance Management,Landing Page Submission
5122,No,No,No,5,38,2.5,Retail Management,Landing Page Submission
5123,No,No,No,5,100,1.25,Finance Management,Landing Page Submission
5124,No,No,No,0,0,0,,API
5125,No,No,No,2,461,2,Operations Management,Landing Page Submission
5126,No,No,No,4,119,4,E-Business,Landing Page Submission
5127,No,No,No,2,1324,2,Media and Advertising,Landing Page Submission
5128,Yes,No,No,4,981,4,IT Projects Management,Landing Page Submission
5129,No,No,No,2,225,2,Business Administration,Landing Page Submission
5130,No,No,No,12,247,2.4,,API
5131,No,Yes,No,0,0,0,,API
5132,Yes,No,No,3,1321,1.5,Supply Chain Management,Landing Page Submission
5133,No,No,No,6,178,1.5,Operations Management,API
5134,No,Yes,No,0,0,0,,API
5135,No,No,No,7,1147,7,Supply Chain Management,Landing Page Submission
5136,Yes,No,No,4,1563,4,,Landing Page Submission
5137,No,No,No,1,16,1,,API
5138,Yes,No,No,2,1152,2,Finance Management,Landing Page Submission
5139,No,No,No,0,0,0,,API
5140,No,No,No,6,457,3,,API
5141,No,No,No,5,12,1.67,Human Resource Management,Landing Page Submission
5142,Yes,No,No,0,0,0,,Lead Add Form
5143,Yes,No,No,2,291,2,,API
5144,No,No,No,4,60,2,Human Resource Management,Landing Page Submission
5145,No,No,No,4,127,4,,API
5146,Yes,Yes,No,3,922,3,Supply Chain Management,Landing Page Submission
5147,Yes,No,No,3,1089,3,Human Resource Management,Landing Page Submission
5148,No,No,No,16,262,8,Rural and Agribusiness,Landing Page Submission
5149,Yes,No,No,0,0,0,,API
5150,No,No,No,3,273,1.5,,API
5151,No,No,No,2,10,2,,API
5152,No,No,No,4,15,4,Business Administration,Landing Page Submission
5153,No,No,No,1,343,1,Supply Chain Management,Landing Page Submission
5154,No,No,No,0,0,0,,API
5155,Yes,No,No,5,273,5,Media and Advertising,Landing Page Submission
5156,No,No,No,3,152,3,,API
5157,No,Yes,No,2,122,2,Business Administration,Landing Page Submission
5158,No,No,No,2,371,2,,API
5159,Yes,No,No,2,1325,2,Finance Management,Landing Page Submission
5160,Yes,No,No,4,1494,4,Finance Management,Landing Page Submission
5161,No,No,No,3,952,3,Finance Management,Landing Page Submission
5162,No,Yes,No,4,209,4,"Banking, Investment And Insurance",Landing Page Submission
5163,No,No,No,7,1032,2.33,Supply Chain Management,API
5164,No,No,No,5,405,5,Marketing Management,API
5165,No,Yes,No,16,103,16,Finance Management,Landing Page Submission
5166,No,Yes,No,0,0,0,,API
5167,No,No,No,0,0,0,,API
5168,Yes,No,No,6,1201,3,Media and Advertising,API
5169,No,No,No,5,49,5,,Landing Page Submission
5170,No,No,No,0,0,0,,API
5171,Yes,No,No,5,284,2.5,Marketing Management,Landing Page Submission
5172,No,No,No,5,44,2.5,Human Resource Management,Landing Page Submission
5173,No,No,No,5,87,5,Operations Management,Landing Page Submission
5174,Yes,No,No,5,1171,5,Marketing Management,Landing Page Submission
5175,No,Yes,No,1,322,1,IT Projects Management,Landing Page Submission
5176,Yes,No,No,2,1484,1,Human Resource Management,API
5177,No,No,No,3,70,1.5,,API
5178,No,No,No,16,804,2.29,,API
5179,No,No,No,3,214,3,Marketing Management,API
5180,Yes,No,No,5,1397,2.5,Media and Advertising,Landing Page Submission
5181,Yes,No,No,0,0,0,,API
5182,No,No,No,4,1081,4,Human Resource Management,Landing Page Submission
5183,No,No,No,1,55,1,,API
5184,Yes,No,No,,992,,Marketing Management,Lead Add Form
5185,No,No,No,3,1507,1.5,Retail Management,Landing Page Submission
5186,No,No,No,2,535,2,,API
5187,Yes,No,No,5,1060,2.5,IT Projects Management,Landing Page Submission
5188,No,No,No,2,1421,2,E-Business,Landing Page Submission
5189,No,No,No,1,419,1,Marketing Management,API
5190,Yes,No,No,0,0,0,,API
5191,Yes,No,No,4,63,2,Business Administration,Landing Page Submission
5192,No,No,No,0,0,0,,API
5193,No,No,No,2,444,2,,API
5194,No,No,No,20,814,2.5,Healthcare Management,Landing Page Submission
5195,Yes,No,No,8,58,4,Travel and Tourism,API
5196,Yes,No,No,4,1298,4,Marketing Management,Landing Page Submission
5197,Yes,No,No,2,13,1,,API
5198,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
5199,Yes,No,No,3,425,1.5,Operations Management,Landing Page Submission
5200,No,No,No,4,824,4,Marketing Management,Landing Page Submission
5201,No,No,No,9,145,4.5,E-Business,Landing Page Submission
5202,No,No,No,0,0,0,,API
5203,No,No,No,4,219,4,,API
5204,No,No,No,11,565,2.75,,API
5205,No,No,No,4,165,4,Finance Management,Landing Page Submission
5206,Yes,No,No,0,0,0,"Banking, Investment And Insurance",API
5207,Yes,No,No,11,591,3.67,Rural and Agribusiness,API
5208,Yes,No,No,4,887,4,Marketing Management,Landing Page Submission
5209,No,No,No,3,1686,3,Human Resource Management,Landing Page Submission
5210,No,No,No,5,110,5,Hospitality Management,API
5211,Yes,No,No,3,1364,1.5,Finance Management,Landing Page Submission
5212,Yes,No,No,0,0,0,,API
5213,Yes,No,No,1,790,1,Finance Management,Landing Page Submission
5214,Yes,No,No,2,640,2,Human Resource Management,Landing Page Submission
5215,No,Yes,No,1,1270,1,,Landing Page Submission
5216,No,No,No,1,249,1,Human Resource Management,Landing Page Submission
5217,No,No,No,5,339,5,IT Projects Management,Landing Page Submission
5218,Yes,No,No,3,574,1.5,Human Resource Management,Landing Page Submission
5219,No,No,No,9,978,4.5,Marketing Management,Landing Page Submission
5220,Yes,No,No,5,1098,5,Operations Management,Landing Page Submission
5221,Yes,No,No,0,0,0,,API
5222,Yes,No,No,10,2112,3.33,Human Resource Management,Landing Page Submission
5223,No,No,No,2,268,2,"Banking, Investment And Insurance",Landing Page Submission
5224,Yes,No,No,3,1169,3,,API
5225,No,No,No,1,226,1,"Banking, Investment And Insurance",Landing Page Submission
5226,Yes,No,No,6,122,3,Business Administration,Landing Page Submission
5227,No,No,No,2,45,2,Finance Management,Landing Page Submission
5228,No,No,No,0,0,0,,API
5229,No,No,No,3,129,3,,API
5230,Yes,No,No,3,1158,1.5,Business Administration,Landing Page Submission
5231,No,No,No,0,0,0,,API
5232,Yes,No,No,0,0,0,,API
5233,No,No,No,1,131,1,Healthcare Management,Landing Page Submission
5234,Yes,No,No,4,1770,4,Finance Management,Landing Page Submission
5235,No,No,No,2,422,2,Finance Management,Landing Page Submission
5236,No,No,No,4,75,4,Marketing Management,Landing Page Submission
5237,Yes,No,No,5,100,2.5,Finance Management,Landing Page Submission
5238,No,Yes,No,3,1801,3,Marketing Management,Landing Page Submission
5239,No,Yes,No,4,383,4,IT Projects Management,Landing Page Submission
5240,No,No,No,0,0,0,,API
5241,Yes,No,No,11,1042,5.5,Human Resource Management,Landing Page Submission
5242,No,No,No,5,304,2.5,Human Resource Management,Landing Page Submission
5243,No,No,No,6,263,1.2,,API
5244,No,No,No,2,161,2,,API
5245,No,No,No,6,158,3,"Banking, Investment And Insurance",Landing Page Submission
5246,No,No,No,8,137,8,Finance Management,Landing Page Submission
5247,No,Yes,No,5,333,5,Healthcare Management,Landing Page Submission
5248,No,Yes,No,2,108,2,Operations Management,Landing Page Submission
5249,No,No,No,6,397,6,Operations Management,Landing Page Submission
5250,No,Yes,No,1,907,1,,Landing Page Submission
5251,No,No,No,4,692,4,Human Resource Management,Landing Page Submission
5252,Yes,No,No,4,1304,4,Finance Management,Landing Page Submission
5253,Yes,No,No,6,223,2,Marketing Management,Landing Page Submission
5254,Yes,Yes,No,0,0,0,,Lead Add Form
5255,No,No,No,4,296,4,Finance Management,Landing Page Submission
5256,Yes,No,No,9,1022,1.5,Supply Chain Management,Landing Page Submission
5257,No,No,No,3,248,3,,API
5258,No,No,No,0,0,0,,API
5259,Yes,No,No,3,1660,1.5,Finance Management,API
5260,Yes,No,No,0,0,0,Finance Management,API
5261,No,No,No,17,869,1.21,,API
5262,No,No,No,10,360,2.5,Finance Management,Landing Page Submission
5263,No,No,No,6,353,6,E-Business,Landing Page Submission
5264,Yes,No,No,4,1547,4,Human Resource Management,Landing Page Submission
5265,No,No,No,0,0,0,,API
5266,No,No,No,5,420,5,,Landing Page Submission
5267,Yes,No,No,3,1759,3,Human Resource Management,API
5268,No,No,No,2,65,2,Travel and Tourism,Landing Page Submission
5269,No,Yes,No,3,53,3,E-COMMERCE,Landing Page Submission
5270,No,No,No,0,0,0,,API
5271,Yes,No,No,4,1445,4,Healthcare Management,Landing Page Submission
5272,No,No,No,2,1289,2,Finance Management,Landing Page Submission
5273,Yes,No,No,4,949,4,International Business,Landing Page Submission
5274,No,No,No,0,0,0,,API
5275,No,No,No,6,243,6,International Business,Landing Page Submission
5276,Yes,No,No,2,1449,2,Marketing Management,Landing Page Submission
5277,Yes,No,No,1,886,1,Finance Management,Lead Add Form
5278,No,No,No,0,0,0,,API
5279,No,No,No,0,0,0,,API
5280,No,Yes,No,2,195,2,,Landing Page Submission
5281,No,No,No,5,391,1.25,Marketing Management,Landing Page Submission
5282,No,No,No,2,1213,2,Finance Management,Landing Page Submission
5283,No,No,No,3,1109,3,Business Administration,Landing Page Submission
5284,No,Yes,No,74,1209,12.33,,Landing Page Submission
5285,Yes,No,No,7,1061,3.5,,API
5286,No,Yes,No,1,231,1,Supply Chain Management,Landing Page Submission
5287,Yes,No,No,2,1241,1,,API
5288,No,No,No,4,209,4,Media and Advertising,Landing Page Submission
5289,No,No,No,4,690,4,,Landing Page Submission
5290,No,Yes,No,5,29,5,IT Projects Management,Landing Page Submission
5291,Yes,No,No,7,1123,7,Finance Management,Landing Page Submission
5292,Yes,No,No,3,1287,1.5,,API
5293,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
5294,Yes,No,No,1,1770,1,Healthcare Management,Lead Add Form
5295,No,No,No,4,107,4,Media and Advertising,Landing Page Submission
5296,No,No,No,3,295,3,Supply Chain Management,Landing Page Submission
5297,No,No,No,2,265,2,Supply Chain Management,Landing Page Submission
5298,No,No,No,0,0,0,,API
5299,No,Yes,No,3,191,3,Finance Management,Landing Page Submission
5300,No,No,No,6,54,2,,API
5301,No,No,No,0,0,0,International Business,Lead Add Form
